,0
1061,1
1062,1
1063,1
1064,1
1065,1
1066,0
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,1
1080,0
1081,1
1082,1
1083,0
1084,1
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,1
1097,0
1098,0
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,1
1108,0
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,0
1122,0
1123,0
1124,1
1125,1
1126,0
1127,1
1128,0
1129,0
1130,0
1131,0
1132,1
1133,1
1134,1
1135,1
1136,0
1137,1
1138,0
1139,1
1140,0
1141,0
1142,1
1143,1
1144,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,1
1151,1
1152,1
1153,1
1154,0
1155,0
1156,1
1157,1
1158,1
1159,0
1160,0
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,0
1172,0
1173,1
1174,0
1175,1
1176,1
1177,0
1178,1
1179,1
1180,1
1181,1
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,1
1190,0
1191,1
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,0
1200,0
1201,1
1202,0
1203,1
1204,1
1205,0
1206,0
1207,1
1208,0
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1216,1
1217,0
1218,1
1219,1
1220,1
1221,1
1222,0
1223,1
1224,1
1225,0
1226,1
1227,1
1228,1
1229,1
1230,0
1231,0
1232,0
1233,0
1234,0
1235,1
1236,0
1237,1
1238,0
1239,1
1240,1
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,1
1248,0
1249,1
1250,1
1251,1
1252,0
1253,1
1254,0
1255,0
1256,0
1257,1
1258,0
1259,0
1260,1
1261,1
1262,1
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,1
1270,1
1271,0
1272,0
1273,1
1274,0
1275,0
1276,1
1277,1
1278,1
1279,0
1280,1
1281,0
1282,0
1283,1
1284,1
1285,1
1286,0
1287,0
1288,1
1289,0
1290,1
1291,1
1292,1
1293,0
1294,1
1295,1
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,1
1306,1
1307,1
1308,0
1309,1
1310,1
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,1
1318,1
1319,0
1320,0
1321,0
1322,1
1323,1
1324,0
1325,1
1326,1
1327,0
1328,1
1329,0
1330,1
1331,1
1332,1
1333,0
1334,0
1335,0
1336,1
1337,0
1338,1
1339,1
1340,1
1341,0
1342,1
1343,0
1344,1
1345,1
1346,0
1347,0
1348,1
1349,1
1350,1
1351,1
1352,0
1353,0
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,0
1362,0
1363,1
1364,1
1365,0
1366,0
1367,0
1368,0
1369,1
1370,1
1371,0
1372,1
1373,1
1374,0
1375,1
1376,0
1377,0
1378,1
1379,0
1380,1
1381,0
1382,1
1383,1
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,1
1391,1
1392,1
1393,1
1394,0
1395,1
1396,0
1397,0
1398,0
1399,1
1400,1
1401,0
1402,0
1403,0
1404,0
1405,1
1406,1
1407,0
1408,0
1409,1
1410,1
1411,1
1412,0
1413,0
1414,1
1415,1
1416,1
1417,0
1418,1
1419,1
1420,1
1421,0
1422,0
1423,1
1424,0
1425,1
1426,0
1427,1
1428,0
1429,0
1430,1
1431,1
1432,0
1433,1
1434,0
1435,0
1436,0
1437,1
1438,1
1439,1
1440,0
1441,1
1442,1
1443,0
1444,0
1445,1
1446,1
1447,0
1448,0
1449,1
1450,1
1451,1
1452,0
1453,1
1454,0
1455,1
1456,1
1457,0
1458,0
1459,0
1460,0
1461,0
1462,1
1463,1
1464,0
1465,0
1466,0
1467,0
1468,0
1469,1
1470,1
1471,1
1472,0
1473,0
1474,1
1475,1
1476,1
1477,0
1478,0
1479,0
1480,0
1481,1
1482,0
1483,0
1484,1
1485,1
1486,0
1487,1
1488,0
1489,0
1490,0
1491,0
1492,1
1493,0
1494,1
1495,1
1496,1
1497,1
1498,0
1499,1
1500,1
1501,1
1502,1
1503,0
1504,1
1505,1
1506,1
1507,0
1508,1
1509,1
1510,1
1511,1
1512,0
1513,0
1514,1
1515,1
1516,1
1517,1
1518,1
1519,0
1520,1
1521,1
1522,1
1523,0
1524,1
1525,1
1526,1
1527,1
1528,0
1529,0
1530,1
1531,1
1532,0
1533,1
1534,0
1535,1
1536,1
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,1
1545,0
1546,1
1547,0
1548,0
1549,1
1550,0
1551,0
1552,1
1553,1
1554,1
1555,0
1556,0
1557,0
1558,0
1559,0
1560,1
1561,1
1562,0
1563,0
1564,0
1565,0
1566,1
1567,1
1568,1
1569,1
1570,0
1571,0
1572,1
1573,1
1574,0
1575,1
1576,0
1577,1
1578,0
1579,1
1580,1
1581,1
1582,0
1583,0
1584,0
1585,1
1586,0
1587,0
1588,1
1589,0
1590,1
1591,1
1592,1
1593,1
1594,0
1595,1
1596,1
1597,0
1598,0
1599,0
1600,0
1601,1
1602,1
1603,0
1604,0
1605,1
1606,1
1607,0
1608,0
1609,0
1610,1
1611,1
1612,1
1613,0
1614,1
1615,0
1616,1
1617,1
1618,0
1619,0
1620,1
1621,1
1622,0
1623,0
1624,0
1625,0
1626,1
1627,0
1628,0
1629,0
1630,0
1631,0
1632,1
1633,1
1634,1
1635,1
1636,0
1637,0
1638,0
1639,1
1640,1
1641,1
1642,1
1643,0
1644,1
1645,1
1646,0
1647,0
1648,1
1649,0
1650,1
1651,0
1652,1
1653,1
1654,1
1655,0
1656,0
1657,1
1658,1
1659,0
1660,1
1661,1
1662,1
1663,0
1664,0
1665,1
1666,1
1667,0
1668,1
1669,1
1670,0
1671,0
1672,1
1673,1
1674,0
1675,1
1676,1
1677,0
1678,1
1679,0
1680,1
1681,0
1682,1
1683,0
1684,1
1685,0
1686,0
1687,1
1688,1
1689,0
1690,1
1691,1
1692,1
1693,0
1694,0
1695,1
1696,0
1697,1
1698,1
1699,0
1700,1
1701,0
1702,0
1703,1
1704,0
1705,0
1706,0
1707,0
1708,0
1709,1
1710,1
1711,1
1712,1
1713,0
1714,1
1715,1
1716,1
1717,0
1718,1
1719,0
1720,0
1721,0
1722,1
1723,1
1724,1
1725,1
1726,1
1727,0
1728,1
1729,0
1730,1
1731,1
1732,0
1733,1
1734,0
1735,0
1736,1
1737,0
1738,0
1739,0
1740,1
1741,1
1742,0
1743,0
1744,1
1745,0
1746,0
1747,1
1748,1
1749,1
1750,0
1751,0
1752,0
1753,0
1754,1
1755,1
1756,1
1757,0
1758,1
1759,1
1760,0
1761,0
1762,1
1763,1
1764,0
1765,1
1766,0
1767,0
1768,0
1769,1
1770,1
1771,1
1772,0
1773,0
1774,0
1775,0
1776,1
1777,1
1778,0
1779,1
1780,0
1781,1
1782,0
1783,0
1784,1
1785,0
1786,0
1787,1
1788,1
1789,1
1790,0
1791,0
1792,1
1793,0
1794,1
1795,0
1796,0
1797,1
1798,1
1799,0
1800,1
1801,0
1802,1
1803,1
1804,0
1805,0
1806,1
1807,0
1808,0
1809,1
1810,1
1811,0
1812,0
1813,1
1814,1
1815,1
1816,1
1817,0
1818,0
1819,0
1820,1
1821,0
1822,1
1823,0
1824,1
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,1
1832,1
1833,1
1834,0
1835,1
1836,1
1837,1
1838,0
1839,0
1840,0
1841,1
1842,0
1843,1
1844,1
1845,0
1846,1
1847,0
1848,1
1849,0
1850,1
1851,0
1852,0
1853,1
1854,1
1855,0
1856,0
1857,0
1858,1
1859,1
1860,1
1861,0
1862,1
1863,0
1864,0
1865,0
1866,1
1867,0
1868,1
1869,0
1870,1
1871,0
1872,1
1873,0
1874,1
1875,1
1876,0
1877,1
1878,0
1879,1
1880,1
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,1
1888,1
1889,0
1890,1
1891,0
1892,1
1893,0
1894,1
1895,1
1896,0
1897,1
1898,0
1899,0
1900,1
1901,0
1902,0
1903,0
1904,0
1905,1
1906,1
1907,0
1908,1
1909,1
1910,1
1911,0
1912,0
1913,1
1914,1
1915,0
1916,1
1917,1
1918,1
1919,1
1920,1
1921,0
1922,1
1923,1
1924,0
1925,0
1926,0
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,0
1934,1
1935,0
1936,1
1937,0
1938,0
1939,0
1940,1
1941,1
1942,1
1943,1
1944,0
1945,1
1946,1
1947,0
1948,0
1949,0
1950,1
1951,1
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,0
1961,1
1962,1
1963,0
1964,0
1965,1
1966,1
1967,0
1968,0
1969,1
1970,0
1971,0
1972,0
1973,1
1974,0
1975,1
1976,1
1977,1
1978,0
1979,0
1980,0
1981,1
1982,0
1983,1
1984,1
1985,0
1986,0
1987,1
1988,1
1989,0
1990,0
1991,0
1992,1
1993,1
1994,0
1995,1
1996,0
1997,1
1998,1
1999,1
2000,1
2001,0
2002,1
2003,1
2004,0
2005,1
2006,0
2007,1
2008,0
2009,0
2010,1
2011,1
2012,1
2013,0
2014,1
2015,0
2016,0
2017,0
2018,0
2019,1
2020,0
2021,1
2022,1
2023,0
2024,1
2025,1
2026,0
2027,0
2028,1
2029,0
2030,0
2031,1
2032,0
2033,1
2034,1
2035,0
2036,1
2037,1
2038,0
2039,1
2040,0
2041,1
2042,1
2043,1
2044,0
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,0
2053,1
2054,1
2055,0
2056,0
2057,1
2058,1
2059,1
2060,0
2061,1
2062,1
2063,1
2064,0
2065,1
2066,1
2067,1
2068,0
2069,0
2070,0
2071,0
2072,1
2073,1
2074,1
2075,0
2076,1
2077,0
2078,1
2079,1
2080,1
2081,1
2082,1
2083,0
2084,0
2085,1
2086,1
2087,0
2088,0
2089,1
2090,1
2091,0
2092,1
2093,0
2094,1
2095,1
2096,1
2097,1
2098,0
2099,0
2100,1
2101,1
2102,1
2103,1
2104,1
2105,0
2106,0
2107,1
2108,1
2109,0
2110,0
2111,1
2112,1
2113,1
2114,0
2115,1
2116,1
2117,1
2118,0
2119,1
2120,0
2121,0
2122,0
2123,1
2124,1
2125,1
2126,1
2127,0
2128,1
2129,0
2130,1
2131,0
2132,0
2133,1
2134,1
2135,1
2136,0
2137,1
2138,0
2139,0
2140,1
2141,1
2142,1
2143,0
2144,1
2145,1
2146,0
2147,0
2148,1
2149,0
2150,0
2151,0
2152,0
2153,1
2154,1
2155,1
2156,1
2157,0
2158,0
2159,1
2160,0
2161,1
2162,1
2163,0
2164,1
2165,0
2166,0
2167,1
2168,1
2169,0
2170,0
2171,1
2172,1
2173,0
2174,0
2175,1
2176,1
2177,1
2178,0
2179,1
2180,0
2181,0
2182,0
2183,1
2184,0
2185,1
2186,0
2187,0
2188,0
2189,1
2190,0
2191,1
2192,1
2193,1
2194,0
2195,0
2196,0
2197,1
2198,0
2199,1
2200,1
2201,1
2202,0
2203,0
2204,0
2205,1
2206,0
2207,1
2208,0
2209,1
2210,1
2211,0
2212,1
2213,1
2214,1
2215,1
2216,0
2217,1
2218,0
2219,0
2220,1
2221,0
2222,0
2223,0
2224,0
2225,0
2226,1
2227,0
2228,0
2229,0
2230,1
2231,0
2232,1
2233,0
2234,1
2235,1
2236,0
2237,1
2238,0
2239,0
2240,1
2241,1
2242,1
2243,0
2244,1
2245,1
2246,0
2247,0
2248,0
2249,1
2250,1
2251,1
2252,1
2253,0
2254,1
2255,0
2256,0
2257,1
2258,1
2259,0
2260,1
2261,0
2262,0
2263,0
2264,0
2265,1
2266,0
2267,0
2268,1
2269,0
2270,1
2271,0
2272,0
2273,0
2274,0
2275,1
2276,0
2277,1
2278,1
2279,0
2280,0
2281,1
2282,0
2283,1
2284,0
2285,1
2286,0
2287,0
2288,0
2289,0
2290,1
2291,1
2292,0
2293,0
2294,0
2295,1
2296,0
2297,1
2298,1
2299,0
2300,1
2301,1
2302,1
2303,0
2304,0
2305,1
2306,0
2307,0
2308,0
2309,1
2310,1
2311,0
2312,0
2313,0
2314,1
2315,0
2316,1
2317,0
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,0
2325,0
2326,1
2327,0
2328,0
2329,1
2330,1
2331,1
2332,1
2333,1
2334,0
2335,1
2336,0
2337,0
2338,0
2339,0
2340,0
2341,1
2342,0
2343,0
2344,0
2345,0
2346,1
2347,1
2348,1
2349,0
2350,1
2351,1
2352,1
2353,1
2354,0
2355,0
2356,0
2357,0
2358,1
2359,0
2360,0
2361,1
2362,0
2363,1
2364,0
2365,0
2366,0
2367,1
2368,1
2369,0
2370,0
2371,0
2372,1
2373,1
2374,1
2375,1
2376,0
2377,1
2378,1
2379,0
2380,1
2381,0
2382,0
2383,1
2384,0
2385,1
2386,1
2387,0
2388,0
2389,0
2390,0
2391,1
2392,0
2393,1
2394,0
2395,0
2396,0
2397,1
2398,0
2399,0
